GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With an Internet subscription,Margin of Error; Total: - With an Internet subscription,Estimate; Total: - With an Internet subscription - Dial-up with no other type of Internet subscription,Margin of Error; Total: - With an Internet subscription - Dial-up with no other type of Internet subscription,Estimate; Total: - With an Internet subscription - Broadband of any type,Margin of Error; Total: - With an Internet subscription - Broadband of any type,Estimate; Total: - With an Internet subscription - Cellular data plan,Margin of Error; Total: - With an Internet subscription - Cellular data plan,Estimate; Total: - With an Internet subscription - Cellular data plan - Cellular data plan with no other type of Internet subscription,Margin of Error; Total: - With an Internet subscription - Cellular data plan - Cellular data plan with no other type of Internet subscription,"Estimate; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL","Margin of Error; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL","Estimate; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL - Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL - Broadband such as cable, fiber optic or DSL with no other type of Internet subscription",Estimate; Total: - With an Internet subscription - Satellite Internet service,Margin of Error; Total: - With an Internet subscription - Satellite Internet service,Estimate; Total: - With an Internet subscription - Satellite Internet service - Satellite Internet service with no other type of Internet subscription,Margin of Error; Total: - With an Internet subscription - Satellite Internet service - Satellite Internet service with no other type of Internet subscription,Estimate; Total: - With an Internet subscription - Other service with no other type of Internet subscription,Margin of Error; Total: - With an Internet subscription - Other service with no other type of Internet subscription,Estimate; Total: - Internet access without a subscription,Margin of Error; Total: - Internet access without a subscription,Estimate; Total: - No Internet access,Margin of Error; Total: - No Internet access
7950000US3600100,3600100,"St. Lawrence County PUMA, New York",40479,1519,32877,1655,270,156,32607,1694,25394,1761,4374,1023,26587,1557,6527,1013,2022,554,235,122,31,49,919,401,6683,973
7950000US3600200,3600200,"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",67092,2054,51186,2044,375,193,50811,2052,36313,2131,5158,1036,41536,1987,11655,1344,6041,1106,1043,347,85,62,2972,890,12934,1598
7950000US3600300,3600300,"Warren & Washington Counties PUMA, New York",51614,1736,41727,1814,517,211,41210,1805,31553,1624,4634,927,33356,1779,8000,1152,4149,641,915,344,73,56,1403,486,8484,1382
7950000US3600401,3600401,"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",44300,1723,36426,1798,351,195,36075,1817,28165,1546,5759,1046,27995,1772,6780,936,2497,595,414,217,127,82,1418,611,6456,874
7950000US3600402,3600402,"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",61146,1901,48003,1989,217,197,47786,1979,36777,1897,5755,1159,41005,1781,10445,1266,1766,560,233,179,54,95,2475,815,10668,1351
7950000US3600403,3600403,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",42081,1597,32619,1629,398,188,32221,1604,21728,1415,4245,730,23182,1467,7745,944,5224,758,1671,374,153,104,1308,410,8154,949
7950000US3600500,3600500,"Jefferson & Lewis Counties PUMA, New York",50860,1725,41602,1759,216,154,41386,1743,33888,1720,5135,892,33839,1810,6515,848,3143,718,539,248,15,24,974,342,8284,1129
7950000US3600600,3600600,"Oswego County PUMA, New York",44633,1313,38036,1593,344,227,37692,1629,28646,1713,4052,848,31993,1787,8362,1105,2505,607,470,250,37,62,734,341,5863,845
7950000US3600701,3600701,"Onondaga County (Central)--Syracuse City PUMA, New York",56295,2177,37923,2032,204,215,37719,2010,30682,1857,6122,945,30627,1914,6612,1086,1641,557,73,85,24,40,3618,1093,14754,1861
7950000US3600702,3600702,"Onondaga County (North) PUMA, New York",47988,1841,40345,1886,36,61,40309,1880,32531,1671,1972,589,37865,1917,7458,1372,1163,459,41,68,0,192,3492,1086,4151,1147
7950000US3600703,3600703,"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",65650,1907,53740,1841,402,247,53338,1836,38429,1948,4352,1060,48153,1914,13514,1536,2300,607,531,359,0,192,2949,911,8961,1412
7950000US3600704,3600704,"Cayuga & Onondaga (South) Counties PUMA, New York",44017,1591,35335,1748,382,224,34953,1734,27715,1662,6787,986,25706,1530,6347,975,3046,509,552,222,0,192,1384,555,7298,1084
7950000US3600800,3600800,"Wayne & Seneca Counties PUMA, New York",50496,1342,41883,1467,819,377,41064,1485,31871,1896,4698,818,33741,1511,8343,1060,3156,702,359,233,117,160,1039,383,7574,1195
7950000US3600901,3600901,"Monroe County (East) PUMA, New York",54567,1733,47633,1541,197,166,47436,1531,37478,1982,2827,648,44183,1655,9504,1382,1452,497,84,139,51,82,893,481,6041,1141
7950000US3600902,3600902,"Monroe County (Central)--Rochester City (East) PUMA, New York",47005,2677,36732,2352,156,129,36576,2331,31302,2158,8139,1192,27337,2280,4784,883,1392,522,189,167,0,192,1738,654,8535,1321
7950000US3600903,3600903,"Monroe County (Central)--Rochester City (West) PUMA, New York",37435,1958,27207,1850,96,93,27111,1854,20472,1814,6080,1096,20286,1671,6172,1080,774,371,155,192,148,194,1574,600,8654,1381
7950000US3600904,3600904,"Monroe County (Central)--Greece & Gates Towns PUMA, New York",53507,1610,45215,1947,534,314,44681,1962,30013,1667,3872,741,39817,2193,13766,1874,2070,651,517,438,154,177,1017,466,7275,1367
7950000US3600905,3600905,"Monroe County (North & West) PUMA, New York",39808,1805,35476,1645,248,188,35228,1620,30048,1666,2875,823,31800,1565,5005,973,1515,684,42,70,0,192,363,246,3969,997
7950000US3600906,3600906,"Monroe County (South) PUMA, New York",66902,2667,58840,2257,260,253,58580,2245,50170,1964,4228,931,53234,2224,7574,1300,2284,624,200,192,0,192,1818,624,6244,1207
7950000US3601000,3601000,"Genesee & Orleans Counties PUMA, New York",39793,1150,31323,1441,288,168,31035,1465,23931,1475,3787,645,25686,1272,6251,929,1494,484,504,290,43,37,1549,570,6921,960
7950000US3601101,3601101,"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",44915,1784,34355,1680,242,213,34113,1680,27160,1709,4736,885,28400,1670,5929,938,2106,688,190,145,0,192,1477,668,9083,1329
7950000US3601102,3601102,"Niagara County (North & East) PUMA, New York",41871,1910,33317,1891,581,423,32736,1820,24689,1371,3362,923,27717,1636,6745,1099,2853,620,709,410,105,147,1154,590,7400,1252
7950000US3601201,3601201,"Erie County (Northwest) PUMA, New York",44657,1804,37936,1663,63,107,37873,1654,31939,1750,3077,889,34099,1687,5463,1192,1920,514,44,72,145,171,1269,704,5452,1044
7950000US3601202,3601202,"Erie County (North Central) PUMA, New York",50286,1940,43754,1773,143,174,43611,1749,34534,1672,1863,558,40911,1836,8287,1375,1857,668,276,293,0,192,1874,640,4658,1022
7950000US3601203,3601203,"Erie County (Northeast) PUMA, New York",46712,1979,39669,1850,171,173,39498,1839,31968,1794,4775,1207,34176,1865,6869,1261,2426,753,45,74,124,151,1267,622,5776,1018
7950000US3601204,3601204,"Erie County (Central) PUMA, New York",66143,2145,53049,1833,381,283,52668,1876,38223,2104,7460,1492,43738,1981,13079,1844,2160,655,640,469,72,118,1585,595,11509,1642
7950000US3601205,3601205,"Erie County (West Central)--Buffalo City (East) PUMA, New York",58418,2358,39512,2350,255,180,39257,2361,32892,2311,7174,1204,31243,2296,5433,1006,2807,672,250,175,78,92,2085,740,16821,2152
7950000US3601206,3601206,"Erie County (West Central)--Buffalo City (West) PUMA, New York",47721,2253,37728,2226,160,146,37568,2230,33304,2180,7261,1402,30104,2015,3863,783,1045,427,0,192,38,61,1552,582,8441,1224
7950000US3601207,3601207,"Erie County (South) PUMA, New York",66536,2276,57360,2191,265,219,57095,2151,43288,2226,9089,1766,45987,2405,13164,1943,2665,636,156,133,43,72,1066,514,8110,1349
